{'type': 'down', 'input': 'r', 'position': (1431, 694), 'timestamp': 1697519547.8161445}
{'type': 'down', 'input': 'd', 'position': (1431, 694), 'timestamp': 1697519547.9778612}
{'type': 'up', 'input': None, 'position': (1431, 694), 'timestamp': 1697519548.0212324}
{'type': 'down', 'input': 'f', 'position': (1431, 694), 'timestamp': 1697519548.0698223}
{'type': 'up', 'input': None, 'position': (1431, 694), 'timestamp': 1697519548.1128335}
{'type': 'down', 'input': 'f', 'position': (1431, 694), 'timestamp': 1697519548.6257806}
{'type': 'down', 'input': 'f', 'position': (1431, 694), 'timestamp': 1697519548.6567874}
{'type': 'up', 'input': None, 'position': (1431, 694), 'timestamp': 1697519548.6827931}
{'type': 'down', 'input': 't', 'position': (1431, 694), 'timestamp': 1697519548.6937962}
{'type': 'down', 'input': 'r', 'position': (1431, 694), 'timestamp': 1697519548.736944}
{'type': 'up', 'input': None, 'position': (1431, 694), 'timestamp': 1697519548.8009589}
{'type': 'down', 'input': 'f', 'position': (1431, 694), 'timestamp': 1697519548.8599539}
{'type': 'up', 'input': None, 'position': (1431, 694), 'timestamp': 1697519548.8819582}
{'type': 'down', 'input': 't', 'position': (1431, 694), 'timestamp': 1697519548.9458716}
{'type': 'up', 'input': None, 'position': (1431, 694), 'timestamp': 1697519549.0378926}
{'type': 'down', 'input': 'd', 'position': (1431, 694), 'timestamp': 1697519549.042894}
{'type': 'up', 'input': None, 'position': (1431, 694), 'timestamp': 1697519549.0538955}
{'type': 'down', 'input': 'y', 'position': (1431, 694), 'timestamp': 1697519549.1988482}
{'type': 'up', 'input': None, 'position': (1431, 694), 'timestamp': 1697519549.3496842}
{'type': 'up', 'input': None, 'position': (1431, 694), 'timestamp': 1697519549.6337504}
{'type': 'down', 'input': 'a', 'position': (1431, 694), 'timestamp': 1697519549.89079}
{'type': 'up', 'input': None, 'position': (1431, 694), 'timestamp': 1697519550.035825}
{'type': 'down', 'input': 'a', 'position': (1431, 694), 'timestamp': 1697519550.159358}
{'type': 'up', 'input': None, 'position': (1431, 694), 'timestamp': 1697519550.2613807}
{'type': 'down', 'input': 'a', 'position': (1431, 694), 'timestamp': 1697519550.36375}
{'type': 'up', 'input': None, 'position': (1431, 694), 'timestamp': 1697519550.476221}
{'type': 'down', 'input': 'a', 'position': (1431, 694), 'timestamp': 1697519550.6708496}
{'type': 'up', 'input': None, 'position': (1431, 694), 'timestamp': 1697519550.8048842}
{'type': 'down', 'input': 'f', 'position': (1431, 694), 'timestamp': 1697519551.369837}
{'type': 'down', 'input': 'r', 'position': (1431, 694), 'timestamp': 1697519551.5051055}
{'type': 'up', 'input': None, 'position': (1431, 694), 'timestamp': 1697519551.601129}
{'type': 'down', 'input': 'd', 'position': (1431, 694), 'timestamp': 1697519551.6171362}
{'type': 'up', 'input': None, 'position': (1431, 694), 'timestamp': 1697519551.7411692}
{'type': 'down', 'input': 'f', 'position': (1431, 694), 'timestamp': 1697519551.778179}
{'type': 'up', 'input': None, 'position': (1431, 694), 'timestamp': 1697519551.8049667}
{'type': 'down', 'input': 'd', 'position': (1431, 694), 'timestamp': 1697519551.950029}
{'type': 'up', 'input': None, 'position': (1431, 694), 'timestamp': 1697519551.9670317}
{'type': 'down', 'input': 'space', 'position': (1431, 694), 'timestamp': 1697519552.0952888}
{'type': 'up', 'input': None, 'position': (1431, 694), 'timestamp': 1697519552.2088218}
{'type': 'down', 'input': 'f', 'position': (1431, 694), 'timestamp': 1697519552.2138233}
{'type': 'up', 'input': None, 'position': (1431, 694), 'timestamp': 1697519552.229827}
{'type': 'down', 'input': 'enter', 'position': (1431, 694), 'timestamp': 1697519552.6357245}
{'type': 'up', 'input': None, 'position': (1431, 694), 'timestamp': 1697519552.7267852}
{'type': 'up', 'input': None, 'position': (1431, 694), 'timestamp': 1697519552.9607546}
{'type': 'down', 'input': 'd', 'position': (1431, 694), 'timestamp': 1697519552.9717596}
{'type': 'up', 'input': None, 'position': (1431, 694), 'timestamp': 1697519553.0517917}
{'type': 'down', 'input': 'r', 'position': (1431, 694), 'timestamp': 1697519553.369773}
{'type': 'up', 'input': None, 'position': (1431, 694), 'timestamp': 1697519553.535808}
{'type': 'down', 'input': 'space', 'position': (1431, 694), 'timestamp': 1697519553.971642}
{'type': 'up', 'input': None, 'position': (1431, 694), 'timestamp': 1697519554.0572748}
{'type': 'down', 'input': 'space', 'position': (1431, 694), 'timestamp': 1697519554.1592863}
{'type': 'up', 'input': None, 'position': (1431, 694), 'timestamp': 1697519554.2342377}
{'type': 'down', 'input': 'd', 'position': (1431, 694), 'timestamp': 1697519554.2987666}
{'type': 'down', 'input': 'space', 'position': (1431, 694), 'timestamp': 1697519554.310782}
{'type': 'up', 'input': None, 'position': (1431, 694), 'timestamp': 1697519554.401713}
{'type': 'up', 'input': None, 'position': (1431, 694), 'timestamp': 1697519554.4437249}
{'type': 'down', 'input': 'space', 'position': (1431, 694), 'timestamp': 1697519554.492736}
{'type': 'up', 'input': None, 'position': (1431, 694), 'timestamp': 1697519554.5737538}
{'type': 'down', 'input': 'f', 'position': (1431, 694), 'timestamp': 1697519554.745247}
{'type': 'up', 'input': None, 'position': (1431, 694), 'timestamp': 1697519554.8742785}
{'type': 'down', 'input': 'r', 'position': (1431, 694), 'timestamp': 1697519555.4546957}
{'type': 'up', 'input': None, 'position': (1431, 694), 'timestamp': 1697519555.5952399}
{'type': 'down', 'input': 'f', 'position': (1431, 694), 'timestamp': 1697519555.9442515}
{'type': 'up', 'input': None, 'position': (1431, 694), 'timestamp': 1697519556.147756}
{'type': 'down', 'input': 't', 'position': (1431, 694), 'timestamp': 1697519556.2937424}
{'type': 'up', 'input': None, 'position': (1431, 694), 'timestamp': 1697519556.3797734}
{'type': 'down', 'input': 'd', 'position': (1431, 694), 'timestamp': 1697519556.4757178}
{'type': 'down', 'input': 'f', 'position': (1431, 694), 'timestamp': 1697519556.9597936}
{'type': 'up', 'input': None, 'position': (1431, 694), 'timestamp': 1697519556.9968023}
